"Your payment is still pending.","Uw betaling wordt nog verwerkt."
"There was an error processing the payment.","Er ging iets mis met het verwerken van uw betaling."
"Choose your bank...","Kies uw bank..."
"Ccv Online Payments","Ccv Online Payments"
General,Algemeen
"Api Key","Api Key"
"Pending status","Pending status"
"Processing status","Processing status"
Banktransfer,Bank overboeking
Enabled,Actief
Card,Creditcard
Eps,Eps
Giropay,Giropay
iDeal,iDEAL | Wero
iDEAL | Wero,iDEAL | Wero
Apple Pay,Apple Pay
Paypal,Paypal
Sofort,Sofort
Klarna,Klarna

"The API Key is invalid.","De API Key is ongeldig."
"Your ip has been blocked. Please contact CCV.","Uw IP is geblokkeerd. Neem contact op met CCV."
"An error (Http %1 error) has occurred. Please try again later or contact CCV.","Er heeft zich een fout (Http %1 error) voorgedaan. Probeer het later opnieuw of neem contact op met CCV."
